Employee_Name,EmpID,MarriedID,MaritalStatusID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,State,Zip,DOB,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Cady, Max ",10150,0,0,1,4,3,77692,0,25,MA,2184,11/22/1966,Single,US Citizen,8/15/2011,,N/A-StillEmployed,Active,Software Engineering,5,Google Search,Fully Meets,3.84,3,5,1/20/2021,0,4
"Candie, Calvin",10001,0,0,1,5,4,72640,0,18,MA,2169,8/9/1983,Single,US Citizen,1/28/2016,,N/A-StillEmployed,Active,Production       ,2,Indeed,Exceeds,5,3,0,2/21/2021,0,14
"Carabbio, Judith",10085,0,0,1,4,3,93396,0,24,MA,2132,4/5/1987,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,10,Indeed,Fully Meets,4.96,4,6,1/29/2021,0,3
"Carey, Michael  ",10115,0,0,1,5,3,52846,0,19,MA,1701,2/2/1983,Single,US Citizen,3/31/2014,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,4.43,3,0,1/31/2021,0,14
"Carr, Claudia  N",10082,0,0,2,3,3,100031,0,27,MA,1886,6/6/1986,Single,US Citizen,6/30/2016,,N/A-StillEmployed,Active,IT/IS,4,LinkedIn,Fully Meets,5,5,6,2/17/2021,0,7
"Carter, Michelle ",10040,0,0,1,6,3,71860,0,3,VT,5664,5/15/1963,Single,US Citizen,8/18/2014,,N/A-StillEmployed,Active,Sales,17,Indeed,Fully Meets,5,5,0,1/20/2021,0,7
"Chace, Beatrice ",10067,0,0,1,5,3,61656,0,19,MA,2763,1/2/1951,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,22,Google Search,Fully Meets,5,4,0,2/11/2021,0,11
"Champaigne, Brian",10108,1,1,1,3,3,110929,0,5,MA,2045,2/9/1972,Married,US Citizen,9/6/2016,,N/A-StillEmployed,Active,IT/IS,5,Indeed,Fully Meets,4.5,5,7,1/14/2021,0,8
"Chan, Lin",10210,0,0,1,5,3,54237,0,19,MA,2170,2/12/1979,Single,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,16,Indeed,Fully Meets,3.3,4,0,2/18/2021,0,11
"Chang, Donovan  E",10154,0,0,1,5,3,60380,0,19,MA,1845,8/24/1983,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,,LinkedIn,Fully Meets,3.8,5,0,1/13/2021,0,4
"Chigurh, Anton",10200,0,0,1,6,3,66808,0,3,TX,78207,6/11/1970,Single,Eligible NonCitizen,5/14/2012,,N/A-StillEmployed,Active,Sales,21,Employee Referral,Fully Meets,3,5,0,1/18/2021,0,17
"Chivukula, Enola",10240,0,0,5,5,3,64786,1,19,MA,1775,8/27/1983,Single,US Citizen,6/27/2011,11/15/2015,relocation out of area,Voluntarily Terminated,Production       ,11,Indeed,Fully Meets,4.3,4,0,3/9/2017,0,3
"Cierpiszewski, Caroline  ",10168,0,0,1,5,3,64816,0,19,MA,2044,5/31/1988,Single,Non-Citizen,10/3/2011,,N/A-StillEmployed,Active,Production       ,19,Indeed,Fully Meets,3.58,5,0,1/29/2021,0,3
"Clayton, Rick",10220,0,0,1,3,3,68678,0,14,MA,2170,9/5/1985,Single,US Citizen,9/5/2012,,N/A-StillEmployed,Active,IT/IS,6,Indeed,Fully Meets,4.7,3,6,2/26/2021,0,2
"Cloninger, Jennifer",10275,1,1,5,5,3,64066,1,20,MA,1752,8/31/1981,Married,US Citizen,5/16/2011,1/7/2013,unhappy,Voluntarily Terminated,Production       ,12,Google Search,Fully Meets,4.2,5,0,5/3/2014,0,9
"Close, Phil",10269,1,1,5,5,3,59369,1,20,MA,2169,11/25/1978,Married,US Citizen,8/30/2010,9/26/2011,career change,Voluntarily Terminated,Production       ,14,Indeed,Fully Meets,4.2,4,0,5/3/2013,0,6
"Clukey, Elijian",10029,1,1,2,5,4,50373,0,19,MA,2134,8/26/1980,Married,US Citizen,7/6/2016,,N/A-StillEmployed,Active,Production       ,12,Employee Referral,Exceeds,4.1,4,0,2/27/2021,0,5
"Cockel, James",10261,0,0,1,5,3,63108,0,19,MA,2452,9/8/1977,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,14,Employee Referral,Fully Meets,4.4,5,0,1/13/2021,0,3
"Cole, Spencer",10292,0,0,4,5,2,59144,1,19,MA,1880,8/12/1979,Single,US Citizen,7/11/2011,9/23/2016,performance,Terminated for Cause,Production       ,20,LinkedIn,Needs Improvement,2,3,0,5/1/2018,5,16
"Corleone, Michael",10282,0,2,1,5,2,68051,0,18,MA,1803,12/17/1975,Divorced,US Citizen,7/20/2010,,N/A-StillEmployed,Active,Production       ,2,CareerBuilder,Needs Improvement,4.13,2,0,1/13/2021,3,3
"Corleone, Vito",10019,0,0,1,5,4,170500,0,10,MA,2030,3/19/1983,Single,US Citizen,1/5/2009,,N/A-StillEmployed,Active,Production       ,2,Indeed,Exceeds,3.7,5,0,2/3/2021,0,15
"Cornett, Lisa ",10094,1,1,1,5,3,63381,0,19,MA,2189,3/31/1977,Married,US Citizen,1/5/2015,,N/A-StillEmployed,Active,Production       ,18,Indeed,Fully Meets,4.73,5,0,2/13/2021,0,6
"Costello, Frank",10193,1,1,1,3,3,83552,0,9,MA,1810,8/26/1986,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,4,Indeed,Fully Meets,3.04,3,6,1/21/2021,0,2
"Crimmings,   Jean",10132,0,0,2,5,3,56149,0,19,MA,1821,4/10/1987,Single,US Citizen,7/6/2016,,N/A-StillEmployed,Active,Production       ,22,LinkedIn,Fully Meets,4.12,5,0,1/27/2021,0,15
"Cross, Noah",10083,0,0,1,3,3,92329,0,28,CT,6278,9/9/1965,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,7,Employee Referral,Fully Meets,5,3,4,1/1/2021,0,5
"Daneault, Lynn",10099,0,0,1,6,3,65729,0,21,VT,5473,4/19/1990,Single,US Citizen,5/5/2014,,N/A-StillEmployed,Active,Sales,15,Indeed,Fully Meets,4.62,4,0,1/23/2021,0,8
"Daniele, Ann  ",10212,1,1,3,3,3,85028,0,28,CT,6033,1/18/1952,Married,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,7,LinkedIn,Fully Meets,3.1,5,8,2/11/2021,0,19
"Darson, Jene'ya ",10056,1,1,1,5,3,57583,0,19,MA,2110,11/5/1978,Married,US Citizen,7/2/2012,,N/A-StillEmployed,Active,Production       ,16,Indeed,Fully Meets,5,3,0,2/24/2021,0,1
"Davis, Daniel",10143,0,0,1,5,3,56294,0,20,MA,2458,9/14/1979,Single,Eligible NonCitizen,11/7/2011,,N/A-StillEmployed,Active,Production       ,20,LinkedIn,Fully Meets,3.96,4,0,2/26/2021,0,6
"Dee, Randy",10311,1,1,1,6,1,56991,0,19,MA,2138,4/15/1988,Married,US Citizen,7/9/2018,,N/A-StillEmployed,Active,Production       ,12,Indeed,Fully Meets,4.3,4,3,1/30/2021,2,2
"DeGweck,  James",10070,1,1,5,5,3,55722,1,19,MA,1810,10/31/1977,Married,US Citizen,5/16/2011,6/8/2016,unhappy,Voluntarily Terminated,Production       ,39,Indeed,Fully Meets,5,4,0,4/2/2018,0,14
"Del Bosque, Keyla",10155,0,0,1,4,3,101199,0,24,MA,2176,7/5/1979,Single,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Software Engineering,10,CareerBuilder,Fully Meets,3.79,5,5,1/24/2021,0,8
"Delarge, Alex",10306,0,0,1,6,1,61568,0,3,AL,36006,11/2/1975,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Sales,17,Indeed,PIP,1.93,3,0,1/29/2021,6,5
"Demita, Carla",10100,0,3,5,5,3,58275,1,20,MA,2343,2/25/1951,Separated,US Citizen,4/4/2011,11/4/2015,more money,Voluntarily Terminated,Production       ,18,Google Search,Fully Meets,4.62,5,0,5/5/2017,0,1
"Desimone, Carl ",10310,1,1,1,5,1,53189,0,19,MA,2061,4/19/1967,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,11,Indeed,PIP,1.12,2,0,1/30/2021,4,9
"DeVito, Tommy",10197,0,0,1,3,3,96820,0,4,MA,2045,9/4/1983,Single,US Citizen,2/15/2017,,N/A-StillEmployed,Active,IT/IS,13,Indeed,Fully Meets,3.01,5,7,1/22/2021,0,15
"Dickinson, Geoff ",10276,0,0,1,5,3,51259,0,19,MA,2180,11/15/1982,Single,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,19,Indeed,Fully Meets,4.3,4,0,2/18/2021,0,1
"Dietrich, Jenna  ",10304,0,0,1,6,1,59231,0,3,WA,98052,5/14/1987,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Sales,17,Website,PIP,2.3,1,0,1/28/2021,2,17
"DiNocco, Lily ",10284,1,1,1,5,2,61584,0,19,MA,2351,12/2/1978,Married,US Citizen,1/7/2013,,N/A-StillEmployed,Active,Production       ,12,Indeed,Needs Improvement,3.88,4,0,1/17/2021,0,6
"Dobrin, Denisa  S",10207,0,0,1,5,3,46335,0,19,MA,2125,10/7/1986,Single,US Citizen,4/2/2012,,N/A-StillEmployed,Active,Production       ,14,CareerBuilder,Fully Meets,3.4,5,0,2/18/2021,0,15
"Dolan, Linda",10133,1,1,1,3,3,70621,0,14,MA,2119,7/18/1988,Married,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,7,Employee Referral,Fully Meets,4.11,4,6,2/24/2021,0,16
"Dougall, Eric",10028,0,0,1,3,4,138888,0,13,MA,1886,7/9/1970,Single,US Citizen,1/5/2014,,N/A-StillEmployed,Active,IT/IS,5,Indeed,Exceeds,4.3,5,5,1/3/2021,0,4
"Driver, Elle",10006,0,0,1,6,4,74241,0,3,CA,90007,11/8/1988,Single,US Citizen,1/10/2011,,N/A-StillEmployed,Active,Sales,21,Indeed,Exceeds,4.77,5,0,1/26/2021,0,14
"Dunn, Amy  ",10105,0,0,1,5,3,75188,0,18,MA,1731,11/28/1973,Single,US Citizen,9/18/2014,,N/A-StillEmployed,Active,Production       ,2,Google Search,Fully Meets,4.52,4,0,1/14/2021,0,4
"Dunne, Amy",10211,1,1,1,5,3,62514,0,19,MA,1749,9/23/1973,Married,US Citizen,4/26/2010,,N/A-StillEmployed,Active,Production       ,19,Google Search,Fully Meets,2.9,3,0,1/20/2021,0,6
"Eaton, Marianne",10064,1,1,5,5,3,60070,1,19,MA,2343,9/5/1991,Married,US Citizen,4/4/2011,6/6/2017,military,Voluntarily Terminated,Production       ,20,Google Search,Fully Meets,5,3,0,4/9/2019,0,7
"Engdahl, Jean",10247,0,0,1,5,3,48888,0,19,MA,2026,5/31/1974,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,4.7,5,0,2/12/2021,0,8
"England, Rex",10235,1,1,1,5,3,54285,0,19,MA,2045,8/25/1978,Married,US Citizen,3/31/2014,,N/A-StillEmployed,Active,Production       ,18,Employee Referral,Fully Meets,4.2,3,0,1/10/2021,0,3
"Erilus, Angela",10299,0,3,1,5,1,56847,0,20,MA,2133,8/25/1989,Separated,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,22,Indeed,PIP,3,1,0,2/24/2021,2,5
"Estremera, Miguel",10280,0,0,4,5,2,60340,1,19,MA,2129,9/2/1983,Single,US Citizen,4/2/2012,9/27/2018,attendance,Terminated for Cause,Production       ,22,Google Search,Needs Improvement,5,4,0,4/11/2020,5,16
"Evensen, April",10296,0,0,4,5,2,59124,1,19,MA,2458,5/6/1989,Single,US Citizen,2/17/2014,2/25/2018,"no-call, no-show",Terminated for Cause,Production       ,16,Google Search,Needs Improvement,2.3,3,0,1/15/2019,5,19
"Exantus, Susan",10290,1,1,4,4,2,99280,1,24,MA,1749,5/15/1987,Married,US Citizen,5/2/2011,6/5/2013,attendance,Terminated for Cause,Software Engineering,10,Indeed,Needs Improvement,2.1,5,4,8/10/2014,4,19
"Faller, Megan ",10263,1,1,1,5,3,71776,0,20,MA,1824,9/22/1978,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,16,LinkedIn,Fully Meets,4.4,5,0,2/21/2021,0,17
"Fancett, Nicole",10136,0,0,1,5,3,65902,0,20,MA,2324,9/27/1987,Single,US Citizen,2/17/2014,,N/A-StillEmployed,Active,Production       ,,LinkedIn,Fully Meets,4,4,0,1/6/2021,0,7
"Ferguson, Susan",10189,1,1,5,5,3,57748,1,19,MA,2176,4/14/1955,Married,US Citizen,11/7/2011,5/17/2016,military,Voluntarily Terminated,Production       ,39,Google Search,Fully Meets,3.13,3,0,2/3/2018,0,16
"Fernandes, Nilson  ",10308,1,1,1,5,1,64057,0,19,MA,2132,10/18/1989,Married,US Citizen,5/11/2015,,N/A-StillEmployed,Active,Production       ,11,Indeed,PIP,1.56,5,0,1/2/2021,6,15
"Fett, Boba",10309,0,0,1,3,1,53366,0,15,MA,2138,6/18/1987,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,7,LinkedIn,PIP,1.2,3,6,2/3/2021,3,2
"Fidelia,  Libby",10049,1,1,1,5,3,58530,0,19,MA,2155,3/16/1981,Married,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Production       ,12,Google Search,Fully Meets,5,5,0,1/28/2021,0,19
"Fitzpatrick, Michael  J",10093,0,0,5,5,3,72609,1,20,MA,2143,10/1/1981,Single,US Citizen,5/16/2011,6/24/2013,hours,Voluntarily Terminated,Production       ,11,Google Search,Fully Meets,4.76,5,0,4/5/2015,0,20
"Foreman, Tanya",10163,1,1,5,5,3,55965,1,20,MA,2170,11/8/1983,Married,US Citizen,4/4/2011,1/9/2013,career change,Voluntarily Terminated,Production       ,19,Google Search,Fully Meets,3.66,3,0,1/6/2014,0,6
"Forrest, Alex",10305,1,1,1,6,3,70187,1,3,MA,2330,7/7/1975,Married,US Citizen,9/29/2014,8/19/2018,Fatal attraction,Terminated for Cause,Sales,21,Employee Referral,PIP,2,5,0,1/27/2021,4,7
"Foss, Jason",10015,0,0,1,3,4,178000,0,12,MA,1460,7/5/1980,Single,US Citizen,4/15/2011,,N/A-StillEmployed,Active,IT/IS,5,Indeed,Exceeds,5,5,5,1/6/2021,0,15
"Foster-Baker, Amy",10080,1,1,1,1,3,99351,0,26,MA,2050,4/16/1979,Married,US Citizen,1/5/2009,,N/A-StillEmployed,Active,Admin Offices,9,Other,Fully Meets,5,3,2,2/7/2021,0,3
"Fraval, Maruk ",10258,0,0,1,6,3,67251,0,3,CT,6050,8/28/1963,Single,US Citizen,9/6/2011,,N/A-StillEmployed,Active,Sales,21,CareerBuilder,Fully Meets,4.3,3,0,1/26/2021,2,7
"Galia, Lisa",10273,0,0,1,3,3,65707,0,14,CT,6040,7/6/1968,Single,US Citizen,5/1/2010,,N/A-StillEmployed,Active,IT/IS,6,LinkedIn,Fully Meets,4.7,4,5,1/31/2021,0,1
"Garcia, Raul",10111,0,0,1,5,3,52249,0,19,MA,1905,9/15/1985,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,14,Employee Referral,Fully Meets,4.5,3,0,2/17/2021,0,5
"Gaul, Barbara",10257,0,0,1,5,3,53171,0,19,MA,2121,12/2/1983,Single,US Citizen,5/16/2011,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,4.2,4,0,2/25/2021,0,12
"Gentry, Mildred",10159,1,1,1,5,3,51337,0,19,MA,2145,10/1/1990,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,22,LinkedIn,Fully Meets,3.73,3,0,1/15/2021,0,19
"Gerke, Melisa",10122,0,2,5,5,3,51505,1,19,MA,2330,5/15/1970,Divorced,US Citizen,11/7/2011,11/15/2016,hours,Voluntarily Terminated,Production       ,16,Diversity Job Fair,Fully Meets,4.24,4,0,4/29/2018,0,2
"Gill, Whitney  ",10142,0,4,4,6,3,59370,1,3,OH,43050,7/10/1971,Widowed,US Citizen,7/7/2014,9/5/2015,attendance,Terminated for Cause,Sales,17,CareerBuilder,Fully Meets,3.97,4,0,1/15/2016,0,7
"Gilles, Alex",10283,1,1,5,5,2,54933,1,19,MA,2062,8/9/1974,Married,US Citizen,4/2/2012,6/25/2015,military,Voluntarily Terminated,Production       ,39,Diversity Job Fair,Needs Improvement,3.97,4,0,1/19/2017,3,15
"Girifalco, Evelyn",10018,0,0,1,5,4,57815,0,19,MA,2451,5/8/1980,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,11,Indeed,Exceeds,3.9,4,0,2/6/2021,0,3
"Givens, Myriam",10255,0,0,1,6,3,61555,0,3,IN,46204,9/22/1989,Single,US Citizen,2/16/2015,,N/A-StillEmployed,Active,Sales,21,Indeed,Fully Meets,4.5,5,0,1/24/2021,0,20
"Goble, Taisha",10246,0,0,4,3,3,114800,1,8,MA,2127,10/23/1971,Single,US Citizen,2/16/2015,3/15/2015,"no-call, no-show",Terminated for Cause,IT/IS,4,Indeed,Fully Meets,4.6,4,4,1/19/2017,0,10
"Goeth, Amon",10228,1,1,1,3,3,74679,0,14,MA,2135,11/24/1989,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,7,LinkedIn,Fully Meets,4.3,5,7,1/9/2021,0,20
"Gold, Shenice  ",10243,0,0,1,5,3,53018,0,19,MA,2451,6/18/1992,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,19,Indeed,Fully Meets,4.3,5,0,2/17/2021,0,7
"Gonzalez, Cayo",10031,0,2,1,5,4,59892,0,19,MA,2108,9/29/1969,Divorced,US Citizen,7/11/2011,,N/A-StillEmployed,Active,Production       ,12,Diversity Job Fair,Exceeds,4.5,4,0,2/17/2021,0,1
"Gonzalez, Juan",10300,1,1,5,5,1,68898,1,20,MA,2128,10/12/1964,Married,US Citizen,4/26/2010,5/30/2011,career change,Voluntarily Terminated,Production       ,12,Diversity Job Fair,PIP,3,3,0,3/5/2013,3,10
"Gonzalez, Maria",10101,0,3,1,3,3,61242,0,14,MA,2472,4/16/1981,Separated,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,7,Employee Referral,Fully Meets,4.61,4,5,1/27/2021,0,11
"Good, Susan",10237,1,1,3,5,3,66825,0,20,MA,1886,5/25/1986,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,4.6,3,0,2/6/2021,0,20
"Gordon, David",10051,1,1,1,5,3,48285,0,19,MA,2169,5/21/1979,Married,US Citizen,7/2/2012,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,5,3,0,1/13/2021,0,2
"Gosciminski, Phylicia  ",10218,0,3,3,5,3,66149,0,20,MA,1824,12/8/1983,Separated,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,20,Google Search,Fully Meets,4.4,5,0,2/20/2021,0,1
